date,inside_covers,outside_covers,reserved_covers,walkin_covers,waitlist_covers,no_show_covers,no_show_parties,UC,season,weekday,year,patio_open,apparent_temp_7pm,apparent_temp_12pm,dewpoint_7pm,temp_max,temp_min,temp_range,snow_depth_morning,precip_dinner,precip_dinner_max,snowfall_dinner,precip_type_dinner,windgusts_dinner_max,cloudcover_dinner_mean,precip_lunch,precip_lunch_max,precip_type_lunch,precip_lag0,precip_type_code,precip_lag1,precip_lag2,precip_lag5d,year_code,any_rain_lag1,OC_predicted,cloudcover_bin,UC_predicted,UC_resid
2017-03-05,217,0,140,30,47,9,4,77,Winter,7,2017,0,18.5,15.7,6.2,26.3,1.7,24.6,0.0,0.0,0.0,0.0,none,20.6,3.8,0.0,0.0,none,0.0,0,0.0,0.004,0.13900000000000007,0,0,0.0,0,65.61543708224987,11.38456291775013
2017-03-06,166,0,119,21,26,4,2,47,Winter,1,2017,0,29.0,28.9,24.8,31.2,14.0,17.2,0.0,0.0,0.0,0.0,none,21.3,81.0,0.0,0.0,none,0.0,0,0.0,0.0,0.10300000000000006,0,0,0.0,3,54.07964716562678,-7.079647165626781
2017-03-07,167,0,133,11,23,6,2,34,Winter,2,2017,0,44.6,41.5,46.0,46.3,31.5,14.799999999999997,0.0,0.016,0.016,0.0,rain,20.4,99.0,0.111,0.039,rain,0.214,1,0.0,0.0,0.004000000000000056,0,0,0.0,3,49.53138090252564,-15.53138090252564
2017-03-08,185,0,136,11,38,10,4,49,Winter,3,2017,0,43.0,41.9,27.5,47.8,38.5,9.299999999999997,0.0,0.0,0.0,0.0,none,27.7,13.0,0.004,0.004,rain,0.036000000000000004,0,0.214,0.0,0.21800000000000005,0,1,0.0,0,52.16900866696132,-3.169008666961318
2017-03-09,193,0,143,18,32,8,3,50,Winter,4,2017,0,41.3,43.3,24.4,45.4,35.2,10.199999999999996,0.0,0.0,0.0,0.0,none,31.5,8.8,0.0,0.0,none,0.0,0,0.036000000000000004,0.214,0.25000000000000006,0,1,0.0,0,56.417094026605085,-6.417094026605085
2017-03-10,195,0,135,21,39,11,4,60,Winter,5,2017,0,22.8,25.1,18.8,37.2,11.8,25.400000000000002,0.0,0.004,0.004,0.0,rain,30.0,75.8,0.19999999999999998,0.059,snow,0.326,1,0.0,0.036000000000000004,0.25000000000000006,0,0,0.0,3,55.125651706150165,4.874348293849835
2017-03-11,209,0,140,17,52,13,5,69,Winter,6,2017,0,16.0,11.9,3.1,16.2,5.9,10.299999999999999,0.131,0.0,0.0,0.0,none,38.5,63.5,0.0,0.0,none,0.0,0,0.326,0.0,0.5760000000000001,0,1,0.0,2,67.40805224282332,1.5919477571766834
2017-03-12,192,0,138,30,24,16,6,54,Winter,7,2017,0,18.1,16.2,3.1,21.0,8.8,12.2,0.131,0.0,0.0,0.0,none,31.5,33.8,0.0,0.0,none,0.0,0,0.0,0.326,0.5760000000000001,0,0,0.0,1,65.61437003864874,-11.614370038648744
2017-03-13,179,0,133,35,11,1,1,46,Winter,1,2017,0,20.1,22.2,16.6,25.0,10.5,14.5,0.131,0.0,0.0,0.0,none,18.6,99.0,0.0,0.0,none,0.004,0,0.0,0.0,0.3620000000000001,0,0,0.0,3,54.054452377790184,-8.054452377790184
2017-03-15,172,0,125,28,19,6,2,47,Winter,3,2017,0,11.0,9.0,12.4,12.1,5.3,6.8,0.755,0.004,0.004,0.028,snow,37.1,76.8,0.004,0.004,snow,0.02,2,1.773,0.004,2.1029999999999998,0,1,0.0,3,54.07124051415917,-7.071240514159172
2017-03-16,187,0,132,20,35,10,5,55,Winter,4,2017,0,23.2,18.3,21.0,25.1,8.1,17.0,0.755,0.0,0.0,0.0,none,20.4,14.0,0.0,0.0,none,0.0,0,0.02,1.773,1.797,0,1,0.0,0,56.361964370098306,-1.3619643700983062
2017-03-17,210,0,142,24,44,10,3,68,Winter,5,2017,0,27.3,25.9,24.3,33.7,11.4,22.300000000000004,0.722,0.0,0.0,0.0,none,18.6,0.5,0.0,0.0,none,0.0,0,0.0,0.02,1.797,0,0,0.0,0,58.520564912534475,9.479435087465525
2017-03-18,226,0,154,19,53,10,5,72,Winter,6,2017,0,28.9,30.7,34.2,31.4,9.4,22.0,0.689,0.064,0.02,0.0,rain,22.1,100.0,0.0,0.0,none,0.092,1,0.0,0.0,1.797,0,0,0.0,3,64.09118336831338,7.908816631686619
2017-03-19,197,0,127,34,36,18,8,70,Winter,7,2017,0,29.3,33.4,21.6,36.4,20.4,16.0,0.656,0.0,0.0,0.0,none,25.1,0.0,0.0,0.0,none,0.0,0,0.092,0.0,1.885,0,1,0.0,0,65.64582735654311,4.3541726434568915
2017-03-20,191,0,131,18,42,5,3,60,Spring,1,2017,0,37.7,35.4,28.2,43.2,17.9,25.300000000000004,0.558,0.0,0.0,0.0,none,16.8,22.2,0.0,0.0,none,0.0,0,0.0,0.092,0.112,0,0,0.0,0,61.51501988639154,-1.515019886391542
2017-03-21,179,0,130,20,29,10,5,49,Spring,2,2017,0,43.3,45.8,37.3,50.3,28.9,21.4,0.427,0.0,0.0,0.0,none,18.3,17.8,0.0,0.0,none,0.0,0,0.0,0.0,0.092,0,0,0.0,0,58.97226102457549,-9.972261024575488
2017-03-22,181,0,120,22,39,11,5,61,Spring,3,2017,0,12.5,16.2,0.5,36.5,11.3,25.2,0.23,0.0,0.0,0.0,none,42.1,0.0,0.0,0.0,none,0.0,0,0.0,0.0,0.092,0,0,0.0,0,49.78851212534073,11.21148787465927
2017-03-23,171,0,120,20,31,18,7,51,Spring,4,2017,0,28.3,26.1,17.3,32.6,9.5,23.1,0.197,0.0,0.0,0.0,none,20.1,1.8,0.0,0.0,none,0.0,0,0.0,0.0,0.092,0,0,0.0,0,58.86413331480931,-7.864133314809308
2017-03-24,193,0,142,14,37,11,5,51,Spring,5,2017,0,43.2,37.3,36.9,45.3,21.5,23.799999999999997,0.164,0.0,0.0,0.0,none,24.2,51.5,0.0,0.0,none,0.0,0,0.0,0.0,0.0,0,0,0.0,2,69.42577876031156,-18.42577876031156
2017-03-25,233,0,169,22,42,5,2,64,Spring,6,2017,0,41.5,59.1,43.9,60.7,35.0,25.700000000000003,0.066,0.04,0.02,0.0,rain,24.6,92.8,0.055,0.055,rain,0.139,1,0.0,0.0,0.0,0,0,0.0,3,80.69853978932156,-16.698539789321558
2017-03-26,213,0,140,29,44,16,7,73,Spring,7,2017,0,32.9,34.2,35.2,34.2,28.6,5.600000000000001,0.033,0.0,0.0,0.0,none,27.5,100.0,0.0,0.0,none,0.012,0,0.139,0.0,0.139,0,1,0.0,3,79.949329583109,-6.949329583109005
2017-03-27,177,0,111,28,38,16,7,66,Spring,1,2017,0,51.6,43.8,50.8,52.5,33.4,19.1,0.0,0.0,0.0,0.0,none,11.9,78.0,0.095,0.059,rain,0.205,0,0.012,0.139,0.15100000000000002,0,1,0.0,3,65.801974868283,0.19802513171700298
